City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,Bohl-Iggelheim,49.3806,8.3039,44.28,88,100,6.91,DE,1675632874
154,Carrickmacross,53.9728,-6.7189,39.67,85,50,6.08,IE,1675632874
155,Sechura,-5.5569,-80.8222,80.11,64,6,17.2,PE,1675632875
156,Saint-Augustin,51.226,-58.6502,2.52,91,100,0.94,CA,1675632627
157,Bethel,41.3712,-73.414,45.45,50,100,1.99,US,1675632581
158,Changji,44.0167,87.3167,18.39,93,100,4.47,CN,1675632875
159,Cap-Aux-Meules,47.3821,-61.8597,26.65,93,100,13.8,CA,1675632876
160,Broome,42.2506,-75.833,43.7,54,0,10.36,US,1675632876
161,Ariquemes,-9.9133,-63.0408,78.35,94,43,0.29,BR,1675632700
162,Chipinge,-20.1883,32.6236,62.51,76,0,2.01,ZW,1675632877
163,Reforma,18.1,-91.0167,79.88,65,41,3.2,MX,1675632877
164,Sitka,57.0531,-135.33,40.89,65,100,14.97,US,1675632877
165,Erenhot,43.6475,111.9767,14.23,55,8,2.93,CN,1675632878
166,Awjilah,29.1081,21.2869,52.84,64,6,10.76,LY,1675632878
167,San Rafael,-34.6177,-68.3301,96.24,14,1,17.56,AR,1675632750
168,Eureka,40.8021,-124.1637,50.61,90,100,1.99,US,1675632656
169,Severo-Kurilsk,50.6789,156.125,25.29,76,98,5.97,RU,1675632879
170,Ukiah,39.1502,-123.2078,49.37,89,100,5.75,US,1675632837
171,Longyearbyen,78.2186,15.6401,28.24,74,75,20.71,SJ,1675632880
172,Vostok,46.4856,135.8833,-9.2,99,98,4.56,RU,1675632880
173,Kawalu,-7.3817,108.2082,72.03,84,99,2.37,ID,1675632836
174,Puerto Narino,-3.7703,-70.3831,78.48,78,85,2.13,CO,1675632881
175,Port Blair,11.6667,92.75,78.84,83,40,0.0,IN,1675632881
176,Conde,-7.2597,-34.9075,81.86,74,40,9.22,BR,1675632882
177,Tanete,-3.9443,119.7848,74.12,94,97,2.51,ID,1675632882
178,Mokhsogollokh,61.4681,128.9203,-38.67,99,99,3.44,RU,1675632882
179,Soyo,-6.1349,12.3689,78.71,82,93,3.78,AO,1675632883
180,Mapastepec,15.4333,-92.9,87.66,45,4,7.85,MX,1675632883
181,Alice Springs,-23.7,133.8833,54.95,76,0,4.61,AU,1675632639
182,Hobyo,5.3505,48.5268,76.03,80,16,17.09,SO,1675632884
183,Makakilo City,21.3469,-158.0858,79.12,63,40,9.22,US,1675632884
184,Hasaki,35.7333,140.8333,32.4,78,1,5.75,JP,1675632885
185,Mayo,38.8876,-76.5119,58.95,59,0,13.8,US,1675632885
186,East London,-33.0153,27.9116,74.88,87,31,11.18,ZA,1675632886
187,Arlit,18.7369,7.3853,72.99,14,6,9.19,NE,1675632886
188,Rawson,-43.3002,-65.1023,66.34,72,19,27.02,AR,1675632886
189,Port Keats,-14.25,129.55,77.85,79,67,3.42,AU,1675632887
190,Namibe,-15.1961,12.1522,71.47,78,51,6.8,AO,1675632887
191,Sakakah,29.9697,40.2064,54.97,35,100,7.81,SA,1675632887
192,Alofi,-19.0595,-169.9187,78.69,83,90,6.91,NU,1675632888
193,Carnarvon,-24.8667,113.6333,76.05,75,2,14.99,AU,1675632888
194,Auki,-8.7676,160.7034,77.02,92,100,10.25,SB,1675632889
195,Hualmay,-11.0964,-77.6139,76.39,71,50,7.49,PE,1675632844
196,Kemlya,54.6963,45.2424,1.9,99,100,3.15,RU,1675632889
197,Olafsvik,64.8945,-23.7142,40.5,81,100,44.78,IS,1675632890
198,Atasu,48.6814,71.6433,21.69,96,100,5.7,KZ,1675632890
199,Nouadhibou,20.931,-17.0347,66.18,45,99,19.57,MR,1675632891
200,Qeshm,26.9581,56.2719,64.29,67,0,6.53,IR,1675632891
201,Mareeba,-17.0,145.4333,75.92,97,63,2.89,AU,1675632892
202,Hammerfest,70.6634,23.6821,37.85,60,75,19.57,NO,1675632892
203,Flinders,-34.5833,150.8552,73.18,77,25,5.99,AU,1675632892
204,Salinopolis,-0.6136,-47.3561,78.12,87,100,9.42,BR,1675632893
205,Kaitangata,-46.2817,169.8464,64.35,68,78,17.45,NZ,1675632869
206,Batagay-Alyta,67.8006,130.4114,-26.12,99,100,0.89,RU,1675632893
207,Vila,42.0304,-8.1588,41.88,58,0,4.88,PT,1675632894
208,Fenoarivo,-18.933,47.4354,64.47,94,40,3.44,MG,1675632894
209,Marzuq,14.4,46.4667,63.7,69,67,4.21,YE,1675632895
210,Envira,-7.3,-70.2167,73.42,94,98,1.16,BR,1675632895
211,Mnogovershinnyy,53.9353,139.9242,-11.99,97,99,4.12,RU,1675632896
212,Bilibino,68.0546,166.4372,-32.8,100,100,1.86,RU,1675632896
213,Faanui,-16.4833,-151.75,81.37,74,16,14.27,PF,1675632897
214,Gidam,18.9833,81.4,56.43,28,3,2.82,IN,1675632897
215,Pascagoula,30.3658,-88.5561,72.32,43,0,6.91,US,1675632696
216,Lamar,33.6668,-95.5836,67.89,56,0,4.61,US,1675632898
217,Charters Towers,-20.1,146.2667,78.39,84,87,13.09,AU,1675632899
218,Port Hardy,50.6996,-127.4199,44.78,87,75,6.91,CA,1675632838
219,Kidal,18.4411,1.4078,74.68,12,1,4.94,ML,1675632899
220,Pimentel,-6.8367,-79.9342,82.69,57,75,19.57,PE,1675632900
221,Governador Valadares,-18.8511,-41.9494,80.73,75,6,1.45,BR,1675632900
222,Turukhansk,65.8167,87.9833,-2.04,100,95,2.42,RU,1675632901
223,Half Moon Bay,37.4636,-122.4286,57.9,74,75,20.71,US,1675632901
224,Camrose,53.0168,-112.8353,27.93,85,100,4.97,CA,1675632902
225,Guerrero Negro,27.9769,-114.0611,64.35,63,3,18.25,MX,1675632905
226,Jacareacanga,-6.2222,-57.7528,77.9,88,67,1.83,BR,1675632906
227,Husavik,66.0449,-17.3389,47.41,78,100,39.93,IS,1675632907
228,Bhag,29.0415,67.8239,67.91,26,0,6.24,PK,1675632907
229,Clyde River,70.4692,-68.5914,-18.17,69,0,14.97,CA,1675632908
230,Stonewall,50.1344,-97.3268,17.71,94,49,8.72,CA,1675632909
231,Kaili,-3.4626,120.2147,66.31,86,100,3.15,ID,1675632909
232,Castro,-24.7911,-50.0119,67.98,75,51,5.66,BR,1675632910
233,Quelimane,-17.8786,36.8883,82.35,83,75,2.3,MZ,1675632912
234,Tilichiki,60.4667,166.1,-21.5,96,18,8.19,RU,1675632913
235,Coquimbo,-29.9533,-71.3436,74.93,53,0,13.8,CL,1675632913
236,Biloela,-24.4167,150.5,80.55,75,86,13.65,AU,1675632914
237,Sayville,40.7359,-73.0821,45.18,77,75,13.8,US,1675632915
238,Te Anau,-45.4167,167.7167,57.33,91,100,6.73,NZ,1675632916
239,Houma,29.5958,-90.7195,72.0,50,40,6.91,US,1675632643
240,Rockport,28.0206,-97.0544,77.02,100,0,12.66,US,1675632917
241,Ancud,-41.8697,-73.8203,62.17,74,24,8.63,CL,1675632918
242,Port Elizabeth,-33.918,25.5701,77.09,93,75,13.8,ZA,1675632918
243,Bela Palanka,43.2183,22.3111,25.39,98,83,2.84,RS,1675632920
244,Vallenar,-28.5708,-70.7581,81.43,39,1,6.91,CL,1675632921
245,Yeovil,50.9416,-2.6321,39.07,85,79,2.3,GB,1675632922
246,Walvis Bay,-22.9575,14.5053,66.09,83,94,2.21,NA,1675632923
247,Santana,-0.0583,-51.1817,82.58,83,20,6.91,BR,1675632924
248,Yumen,40.2833,97.2,26.67,39,66,8.25,CN,1675632924
249,Dudinka,69.4058,86.1778,6.62,99,97,3.53,RU,1675632925
250,Qandala,11.472,49.8728,72.9,75,44,5.21,SO,1675632926
251,Akyab,20.15,92.9,63.28,57,78,9.24,MM,1675632927
252,Ugoofaaru,5.6667,73.0,79.97,77,100,3.15,MV,1675632930
253,Escanaba,45.7453,-87.0646,26.56,72,100,9.22,US,1675632637
254,Chadiza,-14.0678,32.4392,64.08,95,100,2.42,ZM,1675632866
255,Sillod,20.3,75.65,67.08,31,0,0.43,IN,1675632931
256,Manzhouli,49.6,117.4333,-11.11,100,85,6.8,CN,1675632759
257,Westport,41.1415,-73.3579,45.75,57,0,0.0,US,1675632901
258,Kloulklubed,7.0419,134.2556,79.3,79,99,19.01,PW,1675632931
259,Muravlenko,63.7898,74.523,-3.03,99,100,1.81,RU,1675632932
260,Vardo,70.3705,31.1107,19.38,93,100,25.32,NO,1675632932
261,Fortuna,40.5982,-124.1573,50.34,89,100,3.44,US,1675632827
262,Asau,46.4333,26.4,24.28,93,100,9.31,RO,1675632934
263,Pevek,69.7008,170.3133,-36.2,98,82,3.67,RU,1675632934
264,Laguna,38.421,-121.4238,59.05,61,20,16.11,US,1675632764
265,Huarmey,-10.0681,-78.1522,75.27,74,38,7.94,PE,1675632935
266,Chokurdakh,70.6333,147.9167,-41.01,100,69,1.52,RU,1675632764
267,Acapulco,16.8634,-99.8901,85.82,62,0,3.44,MX,1675632784
268,Mabaruma,8.2,-59.7833,73.15,93,80,4.54,GY,1675632935
269,Lokosovo,61.1333,74.8167,-5.57,100,99,2.75,RU,1675632936
270,Toora-Khem,52.4675,96.11,-0.02,100,94,0.72,RU,1675632937
271,Energetik,51.7445,58.7934,-5.46,100,78,5.95,RU,1675632937
272,Verkhnevilyuysk,63.4453,120.3167,-53.66,100,67,2.95,RU,1675632937
273,Henties Bay,-22.116,14.2845,64.53,88,100,3.69,NA,1675632938
274,Meulaboh,4.1363,96.1285,74.71,88,100,4.9,ID,1675632826
275,Tagusao,9.1924,117.8141,76.24,88,58,4.72,PH,1675632939
276,Candido Mendes,-1.4467,-45.7167,75.27,95,100,3.47,BR,1675632939
277,Kajaani,64.2273,27.7285,21.25,93,100,2.3,FI,1675632813
278,Katsuura,35.1333,140.3,46.71,81,1,7.11,JP,1675632940
279,Saint George,37.1041,-113.5841,62.94,36,0,19.57,US,1675632940
280,Cabo San Lucas,22.8909,-109.9124,81.61,41,0,9.22,MX,1675632941
281,Shirgaon,19.7,72.7,72.16,48,6,5.26,IN,1675632941
282,Pauini,-7.7136,-66.9764,80.92,79,64,3.11,BR,1675632942
283,Balabac,7.9868,117.0645,79.75,81,63,14.09,PH,1675632942
284,Tura,25.5198,90.2201,56.44,51,1,2.26,IN,1675632942
285,Tsiroanomandidy,-18.7667,46.0333,65.75,90,100,4.5,MG,1675632943
286,Athabasca,54.7169,-113.2854,34.21,88,99,4.76,CA,1675632778
287,Byron Bay,-28.65,153.6167,72.95,60,76,5.73,AU,1675632708
288,Moron,-34.6534,-58.6198,89.06,44,8,7.43,AR,1675632943
289,Talgar,43.3027,77.2395,26.76,93,75,4.47,KZ,1675632944
290,Matagami,49.7502,-77.6328,3.31,66,0,6.91,CA,1675632770
291,Neka,36.6508,53.299,47.41,41,3,4.94,IR,1675632944
292,Kjollefjord,70.9457,27.3465,37.45,93,75,4.61,NO,1675632945
293,Lagoa,39.05,-27.9833,59.41,83,99,12.35,PT,1675632946
294,Harper,4.375,-7.7169,80.15,83,60,9.53,LR,1675632946
295,Taoudenni,22.6783,-3.9836,63.55,19,37,10.71,ML,1675632946
296,Muisne,0.6,-80.0333,80.28,78,38,8.84,EC,1675632947
297,Mandalgovi,45.7625,106.2708,13.98,47,92,7.07,MN,1675632947
298,Augusta,48.3667,10.8833,35.33,91,100,6.91,DE,1675632948
299,Delmas,18.5447,-72.3028,80.4,62,88,0.69,HT,1675632948
300,Nemuro,43.3236,145.575,22.64,78,77,3.98,JP,1675632949
301,Yongan,39.6957,113.6871,25.97,50,100,0.78,CN,1675632949
302,Inirida,3.8653,-67.9239,76.77,91,90,1.99,CO,1675632950
303,Kavieng,-2.5744,150.7967,82.0,76,95,5.3,PG,1675632950
304,Sibolga,1.7427,98.7792,73.4,96,100,3.29,ID,1675632951
305,Sabha,27.0377,14.4283,51.51,49,7,9.24,LY,1675632951
306,Longhua,23.6137,114.1919,61.38,98,100,1.81,CN,1675632952
307,Lazaro Cardenas,17.9583,-102.2,83.5,53,0,9.86,MX,1675632952
308,Moussoro,13.6408,16.4901,77.41,14,100,10.42,TD,1675632953
309,Bowen,-20.0167,148.2333,82.38,83,44,11.74,AU,1675632953
310,Kingaroy,-26.5333,151.8333,73.74,70,81,11.83,AU,1675632954
311,Sao Jose Da Coroa Grande,-8.8978,-35.1478,79.45,81,17,7.81,BR,1675632954
312,Nanortalik,60.1432,-45.2371,21.9,67,100,29.51,GL,1675632955
313,Valparaiso,-33.0393,-71.6273,79.03,53,0,10.36,CL,1675632757
314,Pemberton,50.3164,-122.8027,44.29,95,97,3.98,CA,1675632956
315,Coari,-4.085,-63.1414,77.56,94,58,2.73,BR,1675632752
316,Tarko-Sale,64.9225,77.785,-13.29,100,100,1.1,RU,1675632956
317,Caucaia,-3.7361,-38.6531,82.35,77,20,9.22,BR,1675632957
318,Tarpon Springs,28.1461,-82.7568,77.05,78,0,4.0,US,1675632957
319,Arles,43.6768,4.6303,50.05,61,0,23.02,FR,1675632958
320,Barahona,18.2085,-71.1008,80.42,78,40,20.71,DO,1675632958
321,Ixtapa,20.7,-105.2,78.03,65,0,12.66,MX,1675632939
322,Coihaique,-45.5752,-72.0662,69.75,37,20,8.05,CL,1675632959
323,Carbonia,39.1672,8.5222,49.01,91,13,3.36,IT,1675632959
324,Joshimath,30.5667,79.5667,37.92,44,0,8.88,IN,1675632959
325,Andenes,69.3143,16.1194,35.92,87,75,13.8,NO,1675632960
326,La Grande,45.3246,-118.0877,44.01,87,100,6.02,US,1675632960
327,Rafaela,-31.2503,-61.4867,92.98,17,0,1.99,AR,1675632960
328,Port Pirie,-33.1833,138.0167,71.47,42,23,6.76,AU,1675632961
329,Kholm,59.2667,32.85,16.97,90,100,8.16,RU,1675632961
330,Kamenka,51.3223,42.7678,7.09,98,85,3.98,RU,1675632962
331,Camacupa,-12.0167,17.4833,59.07,94,100,3.33,AO,1675632963
332,Hedaru,-4.5,37.9,70.74,85,56,1.61,TZ,1675632965
333,Dhidhdhoo,6.8833,73.1,79.9,75,15,0.54,MV,1675632966
334,Dingle,10.9995,122.6711,73.29,94,46,7.94,PH,1675632968
335,Beyneu,45.3167,55.2,31.55,78,90,5.35,KZ,1675632970
336,Verkh-Suetka,53.3,80.05,5.34,97,94,7.43,RU,1675632971
337,Acarau,-2.8856,-40.12,79.02,81,46,12.24,BR,1675632971
338,Baruun-Urt,46.6806,113.2792,-3.75,92,52,4.65,MN,1675632972
339,Kuryk,43.2,51.65,34.84,68,80,11.81,KZ,1675632973
340,Vila Velha,-20.3297,-40.2925,82.35,82,20,9.22,BR,1675632974
341,Lixourion,38.2019,20.4314,42.69,53,23,5.86,GR,1675632975
342,Bogovina,43.895,21.9403,21.76,87,95,4.92,RS,1675632975
